@relation circle

@attribute d real
@attribute class {q,c}

@data
0.88805675446889,c
1.4871000850124503,q
1.1094021815153001,q
0.97434909487793,c
0.89518044934921,c
1.7762460439884202,q
0.79710131598985,c
0.5747718717514001,c
0.8722135662662499,c
1.31879227659625,q
1.4731352744315398,q
0.43331805635570003,c
1.05642064024436,q
1.7412119947042601,q
0.5873384886120099,c
2.1370037299013,q
0.59365611789584,c
0.8473888752975399,c
0.4198124249006499,c
2.00214962852612,q
0.67264114540484,c
1.5321092914385799,q
1.0782386704914502,q
1.1113483424751702,q
0.9476444575523699,c
0.23093378480905002,c
0.9213485718916,c
0.16940767099397,c
2.0873182874785297,q
1.40472921863113,q
1.26902650444704,q
1.23914989970122,q
1.24295732279604,q
0.6782874084380199,c
0.5185415010979599,c
2.2802652581412497,q
0.6260690966803399,c
0.035005401772850005,c
0.37412933705504,c
1.32842399583386,q
0.76525135767041,c
0.66098840019962,c
1.7612233913062099,q
0.85362578074282,c
0.71591202599625,c
1.1599027186119202,q
0.45984472643545005,c
0.56378978925221,c
0.74086727104585,c
0.7685689991244199,c
0.026453982773409997,c
1.9113784472357,q
0.5356419549524499,c
1.07999119776445,q
0.18174352005225,c
2.85943465729972,q
0.18232450616965,c
0.4143135856834,c
1.1756326342680101,q
0.7801281258267401,c
1.3025992028548001,q
1.40928790544225,q
0.47956325479312,c
0.6989337029318501,c
0.98247393903425,c
0.1610705765609,c
0.77840920629448,c
0.5029433557586,c
0.9486656087395999,c
0.51156123382066,c
0.8426634923909,c
0.9948003928868,c
0.24396945881426002,c
1.2713455768273,q
0.8968018639933302,c
1.2419117209733,q
2.93040419495122,q
0.23161042058816,c
0.32542449401125007,c
1.2964359136852,q
0.8301216253581001,c
1.02670476725065,q
0.18990681708499998,c
1.3903475300426,q
0.2245080621122,c
0.6956228119501,c
0.36456961341529004,c
1.33823193742801,q
0.9953476193004499,c
0.17323461922313,c
2.5318916102882003,q
0.04643959569825999,c
0.8966823899605701,c
0.7344630449007399,c
1.12491764101093,q
1.6934241026275396,q
1.44162467381258,q
1.5591080061017002,q
0.61104765431189,c
1.1214956757757002,q
