@relation circle
@attribute x real
@attribute y real
@attribute class {q,c}


@data

0.75759528960025,0.2426843169,q
1.06831283590084,1.1298954415971598,q
1.5399797360646401,1.4211763211610002,q
0.300199889025,0.12348891781801,c
0.3787950736468901,0.0007191675792899999,c
0.00453324810436,1.3026967145347599,q
0.39906245145321007,0.01377764183524,c
0.24751898616383997,1.43174650044721,q
0.8826294346689599,0.5762704619750401,q
0.15387206558408997,9.686299561000001e-05,c
0.604702195876,0.27344396680968996,c
0.070228710049,0.06912108969921,c
1.04011299179649,0.6791856417798399,q
1.2526807175168397,1.01021877329296,q
0.19335385428804,1.46664670449361,q
0.89738448949444,0.00258959872161,c
1.4247258397134401,0.01476178830361,q
0.20111260455364002,0.35527131095296,c
1.04697139194244,1.2289700143566398,q
0.21630675472641,0.6441865041112899,c
0.85786218547225,0.616027195876,q
1.2954792077574402,0.01052992031716,q
0.6336365369664101,0.9714138649708899,q
0.07919170066404,0.94208687805456,q
0.28111712994304006,0.022635714032889998,c
0.94794603007504,1.3565340099715602,q
0.12787039354609,0.030338358876810002,c
0.75806015422225,0.03485364149569,c
0.14759288935524,1.5028089890592098,q
0.5409214162969599,1.46572305957025,q
0.36936930035776,0.61968525696081,c
0.87826268035489,0.9615134065104101,q
0.022900466241,0.4342161568206399,c
0.84427815548521,0.03107365123984,c
0.5115907163824901,0.47190126423049006,c
0.14747566145536,0.24865900311184003,c
0.24824070605376,0.20815293014884004,c
0.9062960032176399,0.9472776568676101,q
1.18106707671481,0.04165121784769,q
0.6111863790128099,0.9463867295408099,q
1.1315178962208898,0.9063687371560001,q
0.8371428350160101,1.46000193966916,q
0.00729505600321,0.011294907006249999,c
0.7009232631745599,0.035756729930249996,c
0.86019559256929,0.00073149693444,c
0.57522835153161,1.3260505899232902,q
0.56193943972644,0.66722938264921,q
0.37458072089999994,0.49917065170401,c
0.10817731497024001,1.1601008955680399,q
0.596660463844,0.20752680471121,c
0.00014165522361,0.14727058632225,c
0.5502761416359999,0.10615430645688999,c
1.2898410655168902,0.96390885508996,q
0.6482343169,1.26311996577321,q
0.17432178134596002,1.4354917740240098,q
0.16356702212964003,0.003379794496,c
1.1298954415971598,0.32894778747609,q
0.53504572761124,0.23036659321103997,c
0.352049982244,0.21453617558024998,c
0.08361009354681001,0.7120814723406399,c
0.15324421988164,0.01123820490816,c
0.85017712455025,0.14885591494225,c
0.51328383770689,0.4393086121729601,c
0.31943464941025,0.073563000625,c
1.4084716908902501,0.94690628889921,q
0.04488817654489,0.044404562031209995,c
0.23326852124943998,0.0009313239097599999,c
0.01007307300609,0.297364086721,c
0.07177373199843999,1.38646527330276,q
0.01414727072929,1.10265057514089,q
0.68378329036161,0.26832161720529,c
0.46256647898176,0.04266947104281,c
0.8572969209508899,0.63935808104169,q
0.09810977533504002,1.4259099167560902,q
0.4079797175424101,0.58364924413636,c
1.50327658029124,0.72190087425625,q
0.797213265424,1.47905390196496,q
0.11235729696675999,0.12010743785104001,c
0.9687086929000001,0.09791867606416,q
0.5849906274702401,0.00848699720001,c
0.09642043466896001,0.32389154175609,c
0.0041906720131599995,0.008763337601289998,c
0.32864158856528997,0.007023931719210001,c
0.02153597340196,0.6294529351324901,c
0.9004949049248099,0.23448615010128998,q
0.036045870306250005,0.38743678211364,c
1.5090820318090001,0.114903372676,q
0.00021234609841,0.07458044207364001,c
0.18104284637569001,0.08405186688899999,c
0.03076508984004,1.4161785410889998,q
0.7291793664,1.3285994866712099,q
0.00050312284416,0.60880285866724,c
0.030059930884,1.5276962472000102,q
1.51724673969649,0.35042220604609003,q
0.023762808273610003,0.14429939352976,c
0.30726367800769,1.46840277066289,q
0.8289261219344399,0.50750620858809,q
0.28489162450576,0.017200138890489998,c
0.36318208078680997,0.14075665580024999,c
0.48016556642404,0.006595859982010001,c
